Company,Category,Subcategory,Website,MainPhone,AffiliateProgramURL,AffiliateEmail,AffiliatePlatform,RecommendedContactPath,Priority,Status,Notes
Levels,Lab Testing,CGM Service (Continuous Glucose),https://levels.link,Not publicly listed,https://levels.link/referral,Not publicly listed,Direct (Referral),Apply via levels.link/referral; referral-code model; waitlist-based — mention clinical context in application,High,Open,CGM + metabolic health; strong alignment with TJ's metabolic optimization messaging; referral code model
Genova Diagnostics,Lab Testing,Specialty Lab Testing,https://www.gdx.net,1-800-522-4762,No public affiliate program — practitioner account model,Not publicly listed,Direct — Practitioner Account,Call 1-800-522-4762; Genova uses a practitioner ordering account model not a consumer affiliate program; set up a practitioner account to order for clients,High,Open,GI + hormone + nutrient specialty testing; practitioner ordering model — more appropriate than affiliate for TJ's clinical practice
Diagnostic Solutions,Lab Testing,GI-MAP + Specialty Tests,https://www.diagnosticsolutionslab.com,1-877-485-5336,No public affiliate program — practitioner account model,Not publicly listed,Direct — Practitioner Account,Call 1-877-485-5336; practitioner ordering model; set up account to order GI-MAP for clients,High,Open,GI-MAP stool test flagship; practitioner ordering model — essential tool for TJ's gut-brain protocol
Cyrex Labs,Lab Testing,Immune + Autoimmune Testing,https://www.joincyrex.com,1-602-759-1245,No public affiliate program — practitioner account model,Not publicly listed,Direct — Practitioner Account,Call 1-602-759-1245; practitioner account only — not a consumer affiliate; apply for practitioner ordering access,Medium,Open,Immune reactivity + autoimmune panels; practitioner-only ordering; not a traditional affiliate play
Wild Health,Lab Testing,Precision Medicine + Genomics,https://wildhealth.com,Not publicly listed,https://wildhealth.com/partners,Not publicly listed,Direct (Partner Program),Apply via wildhealth.com/partners; practitioner partner program,Medium,Open,Genomics + precision medicine; good alignment with TJ's longevity positioning; partner program for practitioners
Quest Diagnostics,Lab Testing,DTC Blood Tests,https://questhealth.com,Not publicly listed,No public affiliate program found — check for referral program,Not publicly listed,Direct — Outreach Required,Contact via questhealth.com; Quest DTC (QuestHealth) may have a referral arrangement; main Quest line is provider-ordered,Low,Open,DTC consumer lab testing arm (QuestHealth); traditional lab — referral arrangement more likely than affiliate
Empower DXA,Lab Testing,Body Composition (DXA Scan),https://empowerdxa.com,Not publicly listed,No public affiliate program found — location-based referral,Not publicly listed,Direct — Outreach Required,Contact via empowerdxa.com; location-based scan network — ask about referral arrangement for practitioners sending clients,Medium,Open,DXA body composition imaging network; location-based referral arrangement most realistic path
WHOOP,Connected Devices,Fitness + Recovery Wearable,https://whoop.com,Not publicly listed,https://www.whoop.com/membership/whoop-affiliate-program,Not publicly listed,Impact,Apply via Impact platform through whoop.com/membership/whoop-affiliate-program; subscription model = recurring commission,High,Open,Strong men's performance brand alignment; subscription model; high social proof in 35-60 male demographic
Oura Ring,Connected Devices,Sleep + HRV Wearable,https://ouraring.com,Not publicly listed,https://ouraring.com/blog/affiliate-program,Not publicly listed,Direct,Apply via ouraring.com; affiliate program documented; subscription + hardware model,High,Open,Premium sleep + HRV tracking; strong alignment with TJ's sleep optimization protocol; hardware + subscription commission
Eight Sleep,Connected Devices,Smart Mattress / Sleep Optimization,https://eightsleep.com,Not publicly listed,https://eightsleep.com/pages/affiliate,Not publicly listed,Impact,Apply via Impact platform through eightsleep.com/pages/affiliate; high AOV = high commission per sale,High,Open,Premium smart mattress; very high AOV ($2K–$3K+); significant commission per sale; strong sleep optimization brand alignment
Garmin,Connected Devices,GPS + Health Wearable,https://www.garmin.com,1-913-397-8200,https://www.garmin.com/en-US/legal/affiliate-disclosure,Not publicly listed,CJ Affiliate,Apply via CJ Affiliate for Garmin; broad product line — focus recommendations on health-focused models (Fenix / Venu),Medium,Open,Large brand; broad product line; CJ Affiliate is the documented platform; lower commission rates typical for large electronics
Apple Health,Connected Devices,Health Platform,https://www.apple.com/health,Not publicly listed,No affiliate program — Apple does not run an affiliate program for Apple Health,Not publicly listed,Not Applicable,Apple Health is a platform feature — no affiliate program exists. Reference editorially only.,N/A,Open,NOT APPLICABLE. No affiliate program for Apple Health. Reference as a free integrated platform feature.
Telemedicine Partners,Telemedicine / Pharmacy / Regen,DIRECT — Not Affiliate,Not applicable,Not applicable,DIRECT — NOT AFFILIATE,Not applicable,DIRECT — Not Affiliate,These are TJ's owned direct partnerships — not managed as affiliate relationships. Do not apply via any affiliate network.,N/A,Open,DIRECT PARTNERSHIPS ONLY. Telemedicine / compounding pharmacy / regenerative medicine clinic relationships are TJ's direct business arrangements. Managed separately from this affiliate program.
Compounding Pharmacy Partners,Telemedicine / Pharmacy / Regen,DIRECT — Not Affiliate,Not applicable,Not applicable,DIRECT — NOT AFFILIATE,Not applicable,DIRECT — Not Affiliate,TJ's direct compounding pharmacy relationships — not affiliate. Managed separately.,N/A,Open,DIRECT PARTNERSHIPS ONLY. Not managed as consumer affiliate.
Regenerative Medicine Partners,Telemedicine / Pharmacy / Regen,DIRECT — Not Affiliate,Not applicable,Not applicable,DIRECT — NOT AFFILIATE,Not applicable,DIRECT — Not Affiliate,TJ's direct regenerative medicine clinic relationships — not affiliate. Managed separately.,N/A,Open,DIRECT PARTNERSHIPS ONLY. Genesis RPA and related regenerative relationships are direct — not affiliate.
